#SpeciesA	SpeciesB	interaction
Pl_2	An_1	1
Pl_10	An_1	1
Pl_12	An_1	1
Pl_15	An_1	1
Pl_16	An_1	1
Pl_31	An_1	1
Pl_33	An_1	1
Pl_45	An_1	1
Pl_46	An_1	1
Pl_2	An_2	1
Pl_7	An_2	1
Pl_14	An_2	1
Pl_22	An_2	1
Pl_33	An_2	1
Pl_35	An_2	1
Pl_36	An_2	1
Pl_40	An_2	1
An_2	An_3	-0.862766737118363
Pl_2	An_3	1
Pl_3	An_3	1
Pl_4	An_3	1
Pl_8	An_3	1
Pl_11	An_3	1
Pl_13	An_3	1
Pl_19	An_3	1
Pl_32	An_3	1
Pl_1	An_4	1
Pl_5	An_4	1
Pl_8	An_4	1
Pl_10	An_4	1
Pl_15	An_4	1
Pl_26	An_4	1
Pl_36	An_4	1
Pl_43	An_4	1
Pl_2	An_5	1
Pl_16	An_5	1
Pl_23	An_5	1
Pl_24	An_5	1
Pl_28	An_5	1
Pl_35	An_5	1
Pl_38	An_5	1
Pl_42	An_5	1
An_3	An_6	-0.941024094354361
Pl_1	An_6	1
Pl_4	An_6	1
Pl_5	An_6	1
Pl_8	An_6	1
Pl_12	An_6	1
Pl_27	An_6	1
Pl_29	An_6	1
Pl_33	An_6	1
An_2	An_7	-0.918666051933542
Pl_1	An_7	1
Pl_10	An_7	1
Pl_15	An_7	1
Pl_16	An_7	1
Pl_26	An_7	1
Pl_27	An_7	1
Pl_30	An_7	1
Pl_41	An_7	1
An_3	An_8	-0.909286013338715
An_4	An_8	-0.859274165006354
Pl_3	An_8	1
Pl_8	An_8	1
Pl_11	An_8	1
Pl_13	An_8	1
Pl_19	An_8	1
Pl_20	An_8	1
Pl_24	An_8	1
Pl_36	An_8	1
Pl_4	An_9	1
Pl_16	An_9	1
Pl_18	An_9	1
Pl_25	An_9	1
Pl_34	An_9	1
Pl_37	An_9	1
Pl_41	An_9	1
Pl_44	An_9	1
An_6	An_10	-0.898241752525792
Pl_7	An_10	1
Pl_18	An_10	1
Pl_22	An_10	1
Pl_27	An_10	1
Pl_28	An_10	1
Pl_31	An_10	1
Pl_32	An_10	1
Pl_44	An_10	1
An_4	An_11	-0.871994944056496
An_9	An_11	-0.957631269237027
An_10	An_11	-0.993482072837651
Pl_1	An_11	1
Pl_4	An_11	1
Pl_27	An_11	1
Pl_29	An_11	1
Pl_34	An_11	1
Pl_40	An_11	1
Pl_42	An_11	1
Pl_47	An_11	1
An_4	An_12	-0.974561749724671
An_5	An_12	-0.94271030346863
Pl_4	An_12	1
Pl_6	An_12	1
Pl_9	An_12	1
Pl_23	An_12	1
Pl_26	An_12	1
Pl_31	An_12	1
Pl_32	An_12	1
Pl_40	An_12	1
An_4	An_13	-0.982541148783639
An_6	An_13	-0.9476747373119
Pl_2	An_13	1
Pl_4	An_13	1
Pl_5	An_13	1
Pl_7	An_13	1
Pl_18	An_13	1
Pl_25	An_13	1
Pl_30	An_13	1
Pl_35	An_13	1
Pl_3	An_14	1
Pl_12	An_14	1
Pl_16	An_14	1
Pl_25	An_14	1
Pl_26	An_14	1
Pl_27	An_14	1
Pl_37	An_14	1
Pl_45	An_14	1
An_7	An_15	-0.96651782724075
Pl_9	An_15	1
Pl_15	An_15	1
Pl_21	An_15	1
Pl_22	An_15	1
Pl_26	An_15	1
Pl_31	An_15	1
Pl_39	An_15	1
Pl_41	An_15	1
An_3	An_16	-0.953426523832604
An_10	An_16	-0.948519432684407
Pl_6	An_16	1
Pl_10	An_16	1
Pl_17	An_16	1
Pl_24	An_16	1
Pl_39	An_16	1
Pl_42	An_16	1
Pl_43	An_16	1
Pl_47	An_16	1
An_11	An_17	-0.991106186062098
Pl_5	An_17	1
Pl_8	An_17	1
Pl_9	An_17	1
Pl_10	An_17	1
Pl_14	An_17	1
Pl_16	An_17	1
Pl_25	An_17	1
Pl_33	An_17	1
An_6	An_18	-0.962833104422316
Pl_3	An_18	1
Pl_7	An_18	1
Pl_12	An_18	1
Pl_13	An_18	1
Pl_17	An_18	1
Pl_28	An_18	1
Pl_38	An_18	1
Pl_46	An_18	1
An_5	An_19	-0.866652945522219
An_6	An_19	-0.916131479199976
