#SpeciesA	SpeciesB	interaction	type
Pl_1	An_1	1	1
Pl_2	An_1	1	1
Pl_3	An_1	1	1
Pl_4	An_1	1	1
Pl_5	An_1	1	1
Pl_6	An_1	1	1
Pl_7	An_1	1	1
Pl_8	An_1	1	1
Pl_11	An_1	1	1
Pl_12	An_1	1	1
Pl_13	An_1	1	1
Pl_14	An_1	1	1
Pl_15	An_1	1	1
Pl_16	An_1	1	1
Pl_17	An_1	1	1
Pl_18	An_1	1	1
Pl_19	An_1	1	1
Pl_20	An_1	1	1
Pl_21	An_1	1	1
Pl_25	An_1	1	1
Pl_27	An_1	1	1
Pl_29	An_1	1	1
Pl_30	An_1	1	1
Pl_32	An_1	1	1
Pl_35	An_1	1	1
Pl_36	An_1	1	1
Pl_37	An_1	1	1
Pl_39	An_1	1	1
Pl_41	An_1	1	1
Pl_42	An_1	1	1
Pl_43	An_1	1	1
Pl_44	An_1	1	1
Pl_45	An_1	1	1
Pl_46	An_1	1	1
Pl_1	An_2	1	1
Pl_4	An_2	1	1
Pl_5	An_2	1	1
Pl_6	An_2	1	1
Pl_9	An_2	1	1
Pl_11	An_2	1	1
Pl_12	An_2	1	1
Pl_13	An_2	1	1
Pl_14	An_2	1	1
Pl_17	An_2	1	1
Pl_20	An_2	1	1
Pl_22	An_2	1	1
Pl_24	An_2	1	1
Pl_28	An_2	1	1
Pl_31	An_2	1	1
Pl_34	An_2	1	1
Pl_40	An_2	1	1
Pl_47	An_2	1	1
An_1	An_3	-0.935178532497957	2
Pl_1	An_3	1	1
Pl_3	An_3	1	1
Pl_4	An_3	1	1
Pl_5	An_3	1	1
Pl_7	An_3	1	1
Pl_8	An_3	1	1
Pl_10	An_3	1	1
Pl_11	An_3	1	1
Pl_12	An_3	1	1
Pl_15	An_3	1	1
Pl_16	An_3	1	1
Pl_18	An_3	1	1
Pl_33	An_3	1	1
Pl_1	An_4	1	1
Pl_2	An_4	1	1
Pl_3	An_4	1	1
Pl_4	An_4	1	1
Pl_5	An_4	1	1
Pl_6	An_4	1	1
Pl_7	An_4	1	1
Pl_9	An_4	1	1
Pl_10	An_4	1	1
Pl_13	An_4	1	1
Pl_16	An_4	1	1
Pl_17	An_4	1	1
An_1	An_5	-0.951381191378459	2
Pl_1	An_5	1	1
Pl_2	An_5	1	1
Pl_3	An_5	1	1
Pl_5	An_5	1	1
Pl_6	An_5	1	1
Pl_8	An_5	1	1
Pl_9	An_5	1	1
Pl_14	An_5	1	1
Pl_15	An_5	1	1
Pl_38	An_5	1	1
An_4	An_6	-0.976464171661064	2
Pl_1	An_6	1	1
Pl_2	An_6	1	1
Pl_3	An_6	1	1
Pl_6	An_6	1	1
Pl_7	An_6	1	1
Pl_8	An_6	1	1
Pl_9	An_6	1	1
Pl_10	An_6	1	1
Pl_12	An_6	1	1
An_3	An_7	-0.949193979613483	2
An_4	An_7	-0.898751938017085	2
Pl_1	An_7	1	1
Pl_2	An_7	1	1
Pl_3	An_7	1	1
Pl_5	An_7	1	1
Pl_8	An_7	1	1
Pl_10	An_7	1	1
Pl_11	An_7	1	1
Pl_23	An_7	1	1
An_3	An_8	-0.955950225703418	2
Pl_1	An_8	1	1
Pl_2	An_8	1	1
Pl_4	An_8	1	1
Pl_6	An_8	1	1
Pl_7	An_8	1	1
Pl_8	An_8	1	1
Pl_19	An_8	1	1
Pl_2	An_9	1	1
Pl_3	An_9	1	1
Pl_5	An_9	1	1
Pl_8	An_9	1	1
Pl_9	An_9	1	1
An_7	An_10	-0.995115073863417	2
An_8	An_10	-0.93790887366049	2
Pl_1	An_10	1	1
Pl_2	An_10	1	1
Pl_3	An_10	1	1
Pl_4	An_10	1	1
An_7	An_11	-0.904506305232644	2
An_9	An_11	-0.922038059914485	2
Pl_1	An_11	1	1
Pl_3	An_11	1	1
Pl_4	An_11	1	1
Pl_9	An_11	1	1
An_1	An_12	-0.902669225353748	2
An_10	An_12	-0.922536476049572	2
Pl_1	An_12	1	1
Pl_4	An_12	1	1
Pl_5	An_12	1	1
Pl_6	An_12	1	1
An_3	An_13	-0.850606295047328	2
An_7	An_13	-0.988359974231571	2
Pl_1	An_13	1	1
Pl_4	An_13	1	1
Pl_6	An_13	1	1
An_7	An_14	-0.948688672622666	2
An_10	An_14	-0.865781306289136	2
Pl_2	An_14	1	1
Pl_3	An_14	1	1
Pl_9	An_14	1	1
