# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Input file 2: "Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 47
# >> Running at date:  (mm,dd,yy) 8, 20, 2022, and time: 1:36:42,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
1	0.387207196911377	0.00921230561189993	0.00202839756592292	0.00718390804597701	1	10	1	9	2	18	0	0	10	9	2	12	0	0	10	9	1	17	An_29	An_16	1	492	493
2	0.351261761236206	0.0163962136578769	0.00202839756592292	0.014367816091954	1	8	1	9	2	17	0	0	8	9	0	12	0	0	8	9	0	17	An_21	An_17	1	492	493
3	0.340091603628586	0.0278904665314402	0.00405679513184584	0.0238336713995943	1	11	1	19	2	29	0	0	11	19	2	21	0	0	11	19	1	28	Pl_11	Pl_5	2	491	493
4	0.337732748291823	0.0322370327441321	0.00405679513184584	0.0281802376122863	1	6	1	4	2	10	0	0	6	4	0	7	0	0	6	4	0	10	Pl_45	Pl_42	2	491	493
5	0.327034036235697	0.0422722628071192	0.00608519269776876	0.0361870701093505	1	15	1	12	2	26	0	0	15	12	2	19	0	0	15	12	1	25	Pl_13	Pl_28	3	490	493
6	0.324026045735853	0.0535607362174729	0.00811359026369168	0.0454471459537812	1	15	1	17	2	31	0	0	15	17	2	23	0	0	15	17	1	30	An_6	An_4	4	489	493
7	0.320546117867119	0.0608941735711942	0.0101419878296146	0.0507521857415796	1	11	1	8	2	18	0	0	11	8	2	13	0	0	11	8	1	17	Pl_15	Pl_16	5	488	493
8	0.318406724778873	0.0664261669328022	0.0101419878296146	0.0562841791031876	1	8	1	7	2	15	0	0	8	7	0	11	0	0	8	7	0	15	Pl_20	Pl_17	5	488	493
9	0.314786658729952	0.0719581602944101	0.0101419878296146	0.0618161724647955	1	6	1	9	2	15	0	0	6	9	0	11	0	0	6	9	0	15	Pl_46	Pl_35	5	488	493
10	0.311732073663285	0.0792915976481315	0.0121703853955375	0.0671212122525939	1	12	1	7	2	18	0	0	12	7	2	13	0	0	12	7	1	17	Pl_12	Pl_14	6	487	493
11	0.305976382567296	0.0833483927799773	0.0121703853955375	0.0711780073844398	1	5	1	7	2	12	0	0	5	7	0	9	0	0	5	7	0	12	Pl_37	Pl_32	6	487	493
12	0.304765217712102	0.0901097179997204	0.0121703853955375	0.0779393326041828	1	10	1	10	2	20	0	0	10	10	0	15	0	0	10	10	0	20	An_18	An_15	6	487	493
13	0.300604916246543	0.103915907883905	0.0141987829614604	0.089717124922445	1	18	1	24	2	41	0	0	18	24	2	31	0	0	18	24	1	40	An_7	An_3	7	486	493
14	0.297362757168046	0.111160184905059	0.0162271805273834	0.0949330043776753	1	9	1	11	2	19	0	0	9	11	2	14	0	0	9	11	1	18	An_20	An_19	8	485	493
15	0.292806969010446	0.117921510124802	0.0162271805273834	0.101694329597418	1	12	1	8	2	20	0	0	12	8	0	15	0	0	12	8	0	20	Pl_7	Pl_41	8	485	493
16	0.28446742964488	0.125832260631901	0.0162271805273834	0.109605080104518	1	12	1	14	2	26	0	0	12	14	0	20	0	0	12	14	0	26	An_12	An_13	8	485	493
17	0.275532744172713	0.134919481727236	0.0162271805273834	0.118692301199852	1	19	1	13	2	32	0	0	19	13	0	25	0	0	19	13	0	32	Pl_4	Pl_6	8	485	493
18	0.27324586265235	0.140135361182466	0.0162271805273834	0.123908180655083	1	8	1	10	2	18	0	0	8	10	0	14	0	0	8	10	0	18	An_34	An_32	8	485	493
19	0.271700235543118	0.147880151888717	0.0162271805273834	0.131652971361334	1	17	1	11	2	28	0	0	17	11	0	22	0	0	17	11	0	28	An_5	An_9	8	485	493
20	0.269491163408772	0.151835527142267	0.0162271805273834	0.135608346614884	1	4	1	9	2	13	0	0	4	9	0	10	0	0	4	9	0	13	An_43	An_41	8	485	493
